Dataset,Label,Address,Longitude,Latitude,Start Time,End Time,Comments
Chinese Historical Capitals,Liao Dynasty,上京临潢府（内蒙古巴林左旗）,119.37949,43.971126,907 AD,947 AD,
Chinese Historical Capitals,Liao Dynasty,汴京（河南开封市）,114.37144,34.793572,947 AD,1007 AD,
Chinese Historical Capitals,Liao Dynasty,中京大定府（内蒙古赤峰市宁城县）,118.557602,41.415477,1007 AD,1125 AD,
Chinese Historical Capitals,Da Li Kingdom,羊苴咩城（云南大理）,100.165937,25.694973,937 AD,1253 AD,
Chinese Historical Capitals,Western Xia Dynasty,兴庆府（宁夏银川东南）,106.28865,38.47361,1038 AD,1227 AD,
Chinese Historical Capitals,Jin Dynasty,上京会宁府（黑龙江省哈尔滨市阿城区上京会宁府遗址）,126.984421,45.537262,1115 AD,1153 AD,
Chinese Historical Capitals,Jin Dynasty,中都大兴府（北京市西城区）,116.381973,39.874476,1153 AD,1214 AD,
Chinese Historical Capitals,Jin Dynasty,南京开封府（河南开封市）,114.343843,34.789118,1214 AD,1232 AD,
Chinese Historical Capitals,Jin Dynasty,归德府（河南商丘市归德府）,115.64,34.3725,1232 AD,1234 AD,
Chinese Historical Capitals,Yuan Dynasty,大都（北京元大都）,116.432321,39.977738,1271 AD,1368 AD,
Chinese Historical Capitals,Ming Dynasty,应天府（南京明故宫）,118.81087,32.041902,1368 AD,1421 AD,
Chinese Historical Capitals,Ming Dynasty,顺天府（北京故宫）,116.39494,39.9136,1421 AD,1644 AD,
Chinese Historical Capitals,Qing Dynasty,奉天府（辽宁沈阳故宫）,123.455601,41.798458,1636 AD,1644 AD,
Chinese Historical Capitals,Qing Dynasty,顺天府（北京故宫）,116.39594,39.9236,1644 AD,1912 AD,
Chinese Historical Capitals,Republic of China,南京（南京总统府）,118.79185,32.04482,1912 AD,1937 AD,
Chinese Historical Capitals,Republic of China,重庆（重庆国民政府旧址）,106.552173,29.56817,1937 AD,1946 AD,
Chinese Historical Capitals,Republic of China,南京（南京总统府）,118.79285,32.04382,1946 AD,1949 AD,
Chinese Historical Capitals,People's Republic of China,北京（北京人民大会堂）,116.38688,39.9054,1949 AD,,
